# replicaCount=1
spring-app-1  | 2026-05-11T01:36:38.755Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1201 aggregateId=-35000001 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=49475 sourceDocumentLoadMs=539 openSearchWriteMs=438 outboxStateTransitionMs=140 relayProcessingMs=1118
spring-app-1  | 2026-05-11T01:36:38.788Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1202 aggregateId=-35000002 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=49475 sourceDocumentLoadMs=11 openSearchWriteMs=13 outboxStateTransitionMs=6 relayProcessingMs=32
spring-app-1  | 2026-05-11T01:36:38.814Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1203 aggregateId=-35000003 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=49475 sourceDocumentLoadMs=8 openSearchWriteMs=10 outboxStateTransitionMs=6 relayProcessingMs=26
spring-app-1  | 2026-05-11T01:36:38.845Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1204 aggregateId=-35000004 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=49475 sourceDocumentLoadMs=9 openSearchWriteMs=10 outboxStateTransitionMs=9 relayProcessingMs=30
spring-app-1  | 2026-05-11T01:36:38.874Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1205 aggregateId=-35000005 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=49475 sourceDocumentLoadMs=10 openSearchWriteMs=10 outboxStateTransitionMs=8 relayProcessingMs=28
spring-app-1  | 2026-05-11T01:36:38.904Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1206 aggregateId=-35000006 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=49475 sourceDocumentLoadMs=13 openSearchWriteMs=10 outboxStateTransitionMs=5 relayProcessingMs=29
spring-app-1  | 2026-05-11T01:36:38.932Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1207 aggregateId=-35000007 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=49475 sourceDocumentLoadMs=7 openSearchWriteMs=12 outboxStateTransitionMs=7 relayProcessingMs=27
spring-app-1  | 2026-05-11T01:36:38.960Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1208 aggregateId=-35000008 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=49475 sourceDocumentLoadMs=6 openSearchWriteMs=13 outboxStateTransitionMs=8 relayProcessingMs=28
spring-app-1  | 2026-05-11T01:36:38.986Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1209 aggregateId=-35000009 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=49475 sourceDocumentLoadMs=6 openSearchWriteMs=11 outboxStateTransitionMs=7 relayProcessingMs=25
spring-app-1  | 2026-05-11T01:36:39.033Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1210 aggregateId=-35000010 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=49475 sourceDocumentLoadMs=13 openSearchWriteMs=25 outboxStateTransitionMs=7 relayProcessingMs=46
spring-app-1  | 2026-05-11T01:36:39.070Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1211 aggregateId=-35000011 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=49475 sourceDocumentLoadMs=10 openSearchWriteMs=9 outboxStateTransitionMs=16 relayProcessingMs=36
spring-app-1  | 2026-05-11T01:36:39.126Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1212 aggregateId=-35000012 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=49475 sourceDocumentLoadMs=21 openSearchWriteMs=22 outboxStateTransitionMs=11 relayProcessingMs=55
