# replicaCount=1
spring-app-1  | 2026-05-11T03:58:05.373Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1501 aggregateId=-35000001 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=120 sourceDocumentLoadMs=420 openSearchWriteMs=277 outboxStateTransitionMs=79 relayProcessingMs=778
spring-app-1  | 2026-05-11T03:58:05.398Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1502 aggregateId=-35000002 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=120 sourceDocumentLoadMs=9 openSearchWriteMs=9 outboxStateTransitionMs=6 relayProcessingMs=25
spring-app-1  | 2026-05-11T03:58:05.418Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1503 aggregateId=-35000003 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=120 sourceDocumentLoadMs=5 openSearchWriteMs=8 outboxStateTransitionMs=5 relayProcessingMs=19
spring-app-1  | 2026-05-11T03:58:05.439Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1504 aggregateId=-35000004 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=120 sourceDocumentLoadMs=5 openSearchWriteMs=9 outboxStateTransitionMs=6 relayProcessingMs=20
spring-app-1  | 2026-05-11T03:58:05.460Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1505 aggregateId=-35000005 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=120 sourceDocumentLoadMs=5 openSearchWriteMs=8 outboxStateTransitionMs=7 relayProcessingMs=20
spring-app-1  | 2026-05-11T03:58:05.484Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1506 aggregateId=-35000006 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=120 sourceDocumentLoadMs=7 openSearchWriteMs=10 outboxStateTransitionMs=6 relayProcessingMs=23
spring-app-1  | 2026-05-11T03:58:05.505Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1507 aggregateId=-35000007 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=120 sourceDocumentLoadMs=5 openSearchWriteMs=9 outboxStateTransitionMs=5 relayProcessingMs=19
spring-app-1  | 2026-05-11T03:58:05.527Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1508 aggregateId=-35000008 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=120 sourceDocumentLoadMs=6 openSearchWriteMs=8 outboxStateTransitionMs=6 relayProcessingMs=21
spring-app-1  | 2026-05-11T03:58:05.544Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1509 aggregateId=-35000009 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=120 sourceDocumentLoadMs=6 openSearchWriteMs=5 outboxStateTransitionMs=5 relayProcessingMs=17
spring-app-1  | 2026-05-11T03:58:05.563Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1510 aggregateId=-35000010 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=120 sourceDocumentLoadMs=5 openSearchWriteMs=7 outboxStateTransitionMs=5 relayProcessingMs=18
spring-app-1  | 2026-05-11T03:58:05.582Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1511 aggregateId=-35000011 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=120 sourceDocumentLoadMs=5 openSearchWriteMs=5 outboxStateTransitionMs=7 relayProcessingMs=18
spring-app-1  | 2026-05-11T03:58:05.599Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1512 aggregateId=-35000012 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=120 sourceDocumentLoadMs=5 openSearchWriteMs=5 outboxStateTransitionMs=5 relayProcessingMs=16
spring-app-1  | 2026-05-11T03:58:05.617Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1513 aggregateId=-35000013 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=120 sourceDocumentLoadMs=5 openSearchWriteMs=5 outboxStateTransitionMs=6 relayProcessingMs=17
spring-app-1  | 2026-05-11T03:58:05.638Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1514 aggregateId=-35000014 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=120 sourceDocumentLoadMs=5 openSearchWriteMs=8 outboxStateTransitionMs=7 relayProcessingMs=21
spring-app-1  | 2026-05-11T03:58:05.657Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1515 aggregateId=-35000015 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=120 sourceDocumentLoadMs=5 openSearchWriteMs=7 outboxStateTransitionMs=5 relayProcessingMs=18
spring-app-1  | 2026-05-11T03:58:05.676Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1516 aggregateId=-35000016 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=120 sourceDocumentLoadMs=5 openSearchWriteMs=6 outboxStateTransitionMs=5 relayProcessingMs=18
spring-app-1  | 2026-05-11T03:58:05.695Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1517 aggregateId=-35000017 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=120 sourceDocumentLoadMs=6 openSearchWriteMs=6 outboxStateTransitionMs=5 relayProcessingMs=18
spring-app-1  | 2026-05-11T03:58:05.716Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1518 aggregateId=-35000018 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=120 sourceDocumentLoadMs=6 openSearchWriteMs=8 outboxStateTransitionMs=6 relayProcessingMs=21
spring-app-1  | 2026-05-11T03:58:05.738Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1519 aggregateId=-35000019 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=120 sourceDocumentLoadMs=6 openSearchWriteMs=8 outboxStateTransitionMs=6 relayProcessingMs=21
spring-app-1  | 2026-05-11T03:58:05.778Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1520 aggregateId=-35000020 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=120 sourceDocumentLoadMs=23 openSearchWriteMs=10 outboxStateTransitionMs=5 relayProcessingMs=39

# replicaCount=2
spring-app-2  | 2026-05-11T03:59:00.834Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1601 aggregateId=-35000001 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=4225 sourceDocumentLoadMs=459 openSearchWriteMs=198 outboxStateTransitionMs=90 relayProcessingMs=749
spring-app-2  | 2026-05-11T03:59:00.855Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1602 aggregateId=-35000002 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=4225 sourceDocumentLoadMs=6 openSearchWriteMs=7 outboxStateTransitionMs=5 relayProcessingMs=20
spring-app-2  | 2026-05-11T03:59:00.874Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1603 aggregateId=-35000003 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=4225 sourceDocumentLoadMs=5 openSearchWriteMs=7 outboxStateTransitionMs=5 relayProcessingMs=18
spring-app-2  | 2026-05-11T03:59:00.894Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1604 aggregateId=-35000004 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=4225 sourceDocumentLoadMs=5 openSearchWriteMs=9 outboxStateTransitionMs=5 relayProcessingMs=20
spring-app-2  | 2026-05-11T03:59:00.915Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1605 aggregateId=-35000005 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=4225 sourceDocumentLoadMs=6 openSearchWriteMs=7 outboxStateTransitionMs=7 relayProcessingMs=20
spring-app-2  | 2026-05-11T03:59:00.936Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1606 aggregateId=-35000006 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=4225 sourceDocumentLoadMs=8 openSearchWriteMs=6 outboxStateTransitionMs=6 relayProcessingMs=21
spring-app-2  | 2026-05-11T03:59:00.956Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1607 aggregateId=-35000007 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=4225 sourceDocumentLoadMs=5 openSearchWriteMs=6 outboxStateTransitionMs=6 relayProcessingMs=19
spring-app-2  | 2026-05-11T03:59:00.978Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1608 aggregateId=-35000008 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=4225 sourceDocumentLoadMs=7 openSearchWriteMs=8 outboxStateTransitionMs=6 relayProcessingMs=21
spring-app-2  | 2026-05-11T03:59:00.998Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1609 aggregateId=-35000009 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=4225 sourceDocumentLoadMs=6 openSearchWriteMs=7 outboxStateTransitionMs=5 relayProcessingMs=19
spring-app-2  | 2026-05-11T03:59:01.017Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=1610 aggregateId=-35000010 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=4225 sourceDocumentLoadMs=6 openSearchWriteMs=6 outboxStateTransitionMs=6 relayProcessingMs=19
