# replicaCount=1
spring-app-1  | 2026-05-11T04:57:41.286Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=7821 aggregateId=-36000001 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=618 sourceDocumentLoadMs=491 openSearchWriteMs=120 outboxStateTransitionMs=107 relayProcessingMs=720
spring-app-1  | 2026-05-11T04:57:41.312Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=7822 aggregateId=-36000002 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=618 sourceDocumentLoadMs=7 openSearchWriteMs=12 outboxStateTransitionMs=5 relayProcessingMs=25
spring-app-1  | 2026-05-11T04:57:41.338Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=7823 aggregateId=-36000003 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=618 sourceDocumentLoadMs=7 openSearchWriteMs=9 outboxStateTransitionMs=8 relayProcessingMs=25
spring-app-1  | 2026-05-11T04:57:41.361Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=7824 aggregateId=-36000004 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=618 sourceDocumentLoadMs=5 openSearchWriteMs=9 outboxStateTransitionMs=6 relayProcessingMs=22
spring-app-1  | 2026-05-11T04:57:41.394Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=7825 aggregateId=-36000005 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=618 sourceDocumentLoadMs=13 openSearchWriteMs=10 outboxStateTransitionMs=8 relayProcessingMs=33
spring-app-1  | 2026-05-11T04:57:41.429Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=7826 aggregateId=-36000006 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=618 sourceDocumentLoadMs=15 openSearchWriteMs=12 outboxStateTransitionMs=7 relayProcessingMs=34
spring-app-1  | 2026-05-11T04:57:41.473Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=7827 aggregateId=-36000007 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=618 sourceDocumentLoadMs=10 openSearchWriteMs=18 outboxStateTransitionMs=15 relayProcessingMs=43
spring-app-1  | 2026-05-11T04:57:41.540Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=7828 aggregateId=-36000008 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=618 sourceDocumentLoadMs=12 openSearchWriteMs=42 outboxStateTransitionMs=10 relayProcessingMs=66
spring-app-1  | 2026-05-11T04:57:41.577Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=7829 aggregateId=-36000009 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=618 sourceDocumentLoadMs=8 openSearchWriteMs=12 outboxStateTransitionMs=15 relayProcessingMs=35
spring-app-1  | 2026-05-11T04:57:41.606Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=7830 aggregateId=-36000010 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=618 sourceDocumentLoadMs=10 openSearchWriteMs=9 outboxStateTransitionMs=8 relayProcessingMs=28
spring-app-1  | 2026-05-11T04:57:41.628Z  INFO 1 --- [marketplace] [   scheduling-1] .p.m.p.s.ProductSearchOutboxRelayService : product_search_outbox_indexing_latency eventId=7831 aggregateId=-36000011 eventType=PRODUCT_UPDATED resultStatus=DONE queueWaitMs=618 sourceDocumentLoadMs=6 openSearchWriteMs=9 outboxStateTransitionMs=5 relayProcessingMs=21
